B0,G0,R0,L,B1,G1,R1,B,G,R
0.5858997540393349,0.5858997540393349,0.55985976497092,0.3803921568627451,0.6338028169014085,0.6338028169014085,0.6056338028169014,90.0,90.0,86.0
0.6050452401733242,0.5790217889830737,0.5464924749952605,0.3764705882352941,0.6549295774647887,0.6267605633802817,0.5915492957746479,93.0,89.0,84.0
0.58609387699179,0.58609387699179,0.559453246219436,0.3725490196078431,0.6197183098591549,0.6197183098591549,0.5915492957746479,88.0,88.0,84.0
0.5986153936380382,0.5856020155154721,0.5465618811477739,0.3803921568627451,0.647887323943662,0.6338028169014085,0.5915492957746479,92.0,90.0,84.0
0.5862970154878475,0.5862970154878475,0.5590273868605058,0.3607843137254902,0.6056338028169014,0.6056338028169014,0.5774647887323944,86.0,86.0,82.0
0.5966357857523364,0.5642099278310138,0.5706950994152783,0.3725490196078431,0.647887323943662,0.6126760563380281,0.6197183098591549,92.0,87.0,88.0
0.5981471225195307,0.5666656950185028,0.5666656950185028,0.3843137254901961,0.6690140845070423,0.6338028169014085,0.6338028169014085,95.0,90.0,90.0
0.5988436163198622,0.5662977676068263,0.5662977676068263,0.3725490196078431,0.647887323943662,0.6126760563380281,0.6126760563380281,92.0,87.0,87.0
0.5931419907695739,0.5726888186740713,0.5658710946422372,0.3568627450980392,0.6126760563380281,0.5915492957746479,0.5845070422535211,87.0,84.0,83.0
0.5970748642813744,0.5705382036466466,0.5639040384879647,0.3647058823529411,0.6338028169014085,0.6056338028169014,0.5985915492957746,90.0,86.0,85.0
0.6038500765243968,0.5703028500508193,0.5568839594613881,0.3607843137254902,0.6338028169014085,0.5985915492957746,0.5845070422535211,90.0,85.0,83.0
0.5771162240739253,0.5972481853788297,0.5569842627690209,0.3725490196078431,0.6056338028169014,0.6267605633802817,0.5845070422535211,86.0,89.0,83.0
0.5839540661921793,0.5907442297525534,0.5567934119506825,0.3647058823529411,0.6056338028169014,0.6126760563380281,0.5774647887323944,86.0,87.0,82.0
0.5970748642813744,0.5639040384879647,0.5705382036466466,0.3647058823529411,0.6338028169014085,0.5985915492957746,0.6056338028169014,90.0,85.0,86.0
0.5993344423908241,0.5660380844802229,0.5660380844802229,0.3647058823529411,0.6338028169014085,0.5985915492957746,0.5985915492957746,90.0,85.0,85.0
0.5879464509643306,0.5751650063781495,0.5687742840850589,0.3843137254901961,0.647887323943662,0.6338028169014085,0.6267605633802817,92.0,90.0,89.0
0.590780930140118,0.5734050204301145,0.56761305052678,0.4196078431372549,0.7183098591549296,0.6971830985915493,0.6901408450704225,102.0,99.0,98.0
0.5991032145745058,0.5691480538457805,0.5631570217000355,0.403921568627451,0.704225352112676,0.6690140845070423,0.6619718309859155,100.0,95.0,94.0
0.5683743551185696,0.5750611122376116,0.5884346264756956,0.3686274509803922,0.5985915492957746,0.6056338028169014,0.6197183098591549,85.0,86.0,88.0
0.5682944863492339,0.581825307452787,0.581825307452787,0.3647058823529411,0.5915492957746479,0.6056338028169014,0.6056338028169014,84.0,86.0,86.0
0.5689834199850071,0.5814885500945677,0.5814885500945677,0.396078431372549,0.6408450704225352,0.6549295774647887,0.6549295774647887,91.0,93.0,93.0
0.5693319961249204,0.5813179328854451,0.5813179328854451,0.4117647058823529,0.6690140845070423,0.6830985915492958,0.6830985915492958,95.0,97.0,97.0
0.5733199620231345,0.5793549089917991,0.5793549089917991,0.4078431372549019,0.6690140845070423,0.676056338028169,0.676056338028169,95.0,96.0,96.0
0.5793975587598232,0.5732337549432294,0.5793975587598232,0.396078431372549,0.6619718309859155,0.6549295774647887,0.6619718309859155,94.0,93.0,94.0
0.5837412504012077,0.570911772370412,0.5773265113858098,0.3803921568627451,0.6408450704225352,0.6267605633802817,0.6338028169014085,91.0,89.0,90.0
0.587718139010673,0.5752134977551268,0.5689611771273536,0.392156862745098,0.6619718309859155,0.647887323943662,0.6408450704225352,94.0,92.0,91.0
0.5864444493896125,0.5754828708963488,0.5700020816497169,0.4431372549019607,0.7535211267605634,0.7394366197183099,0.7323943661971831,107.0,105.0,104.0
0.5964728593102615,0.5733088647739407,0.5617268675057803,0.4196078431372549,0.7253521126760564,0.6971830985915493,0.6830985915492958,103.0,99.0,97.0
0.6041574471207639,0.5702160175072378,0.5566394456618274,0.3568627450980392,0.6267605633802817,0.5915492957746479,0.5774647887323944,89.0,84.0,82.0
0.6029688205417808,0.5705511420180291,0.5575840706085284,0.3725490196078431,0.6549295774647887,0.6197183098591549,0.6056338028169014,93.0,88.0,86.0
0.607071002328834,0.5683217894142276,0.5554053851093588,0.3725490196078431,0.6619718309859155,0.6197183098591549,0.6056338028169014,94.0,88.0,86.0
0.6051477033815393,0.572612880619091,0.553091986961622,0.3725490196078431,0.6549295774647887,0.6197183098591549,0.5985915492957746,93.0,88.0,85.0
0.6088993020493221,0.5704425040251543,0.5512141050130704,0.3764705882352941,0.6690140845070423,0.6267605633802817,0.6056338028169014,95.0,89.0,86.0
0.6069597552198025,0.57090274005823,0.5528742324774438,0.403921568627451,0.7112676056338029,0.6690140845070423,0.647887323943662,101.0,95.0,92.0
0.6023700823603824,0.5731288162263832,0.5555840565459838,0.4156862745098039,0.7253521126760564,0.6901408450704225,0.6690140845070423,103.0,98.0,95.0
0.5908757021748577,0.5791751932209002,0.5616244297899639,0.4196078431372549,0.7112676056338029,0.6971830985915493,0.676056338028169,101.0,99.0,96.0
0.5792556738735976,0.5792556738735976,0.5735204691817798,0.4274509803921568,0.7112676056338029,0.7112676056338029,0.704225352112676,101.0,101.0,100.0
0.5754448640261868,0.5811423379274362,0.5754448640261868,0.4313725490196078,0.7112676056338029,0.7183098591549296,0.7112676056338029,101.0,102.0,101.0
0.5773502691896258,0.5773502691896258,0.5773502691896258,0.4156862745098039,0.6901408450704225,0.6901408450704225,0.6901408450704225,98.0,98.0,98.0
0.5836028323179903,0.5773275330457538,0.5710522337735173,0.388235294117647,0.6549295774647887,0.647887323943662,0.6408450704225352,93.0,92.0,91.0
0.5836712837189408,0.5709827775511377,0.5773270306350393,0.3843137254901961,0.647887323943662,0.6338028169014085,0.6408450704225352,92.0,90.0,91.0
0.5986710947139654,0.5986710947139654,0.5321520841901914,0.3725490196078431,0.6338028169014085,0.6338028169014085,0.5633802816901409,90.0,90.0,80.0
0.571186697745693,0.5773284901945713,0.5834702826434498,0.4,0.6549295774647887,0.6619718309859155,0.6690140845070423,93.0,94.0,95.0
0.5731210451022177,0.5731210451022177,0.5857171120275413,0.388235294117647,0.6408450704225352,0.6408450704225352,0.6549295774647887,91.0,91.0,93.0
0.5773265113858098,0.570911772370412,0.5837412504012077,0.3803921568627451,0.6338028169014085,0.6267605633802817,0.6408450704225352,90.0,89.0,91.0
0.586171885893441,0.579510841735561,0.566188753419801,0.3686274509803922,0.6197183098591549,0.6126760563380281,0.5985915492957746,88.0,87.0,85.0
0.5848780664051516,0.5791996385759753,0.5678427829176229,0.4313725490196078,0.7253521126760564,0.7183098591549296,0.704225352112676,103.0,102.0,100.0
0.5950167759907204,0.5771662727109989,0.5593157694312773,0.4117647058823529,0.704225352112676,0.6830985915492958,0.6619718309859155,100.0,97.0,94.0
0.5567934119506825,0.5907442297525534,0.5839540661921793,0.3686274509803922,0.5774647887323944,0.6126760563380281,0.6056338028169014,82.0,87.0,86.0
0.5956190765139809,0.5710574651113426,0.564917062260683,0.396078431372549,0.6830985915492958,0.6549295774647887,0.647887323943662,97.0,93.0,92.0
0.5940356591762638,0.5716192192073482,0.5660151092151192,0.4313725490196078,0.7464788732394366,0.7183098591549296,0.7112676056338029,106.0,102.0,101.0
0.5955681107385167,0.5735100325630161,0.5624809934752658,0.4392156862745098,0.7605633802816901,0.7323943661971831,0.7183098591549296,108.0,104.0,102.0
0.5961003903534271,0.5733918040542489,0.5620375109046598,0.4274509803921568,0.7394366197183099,0.7112676056338029,0.6971830985915493,105.0,101.0,99.0
0.5988820656610315,0.5692344386481092,0.5633049132455247,0.4078431372549019,0.7112676056338029,0.676056338028169,0.6690140845070423,101.0,96.0,95.0
0.5986653660177662,0.5693190245463071,0.5634497562520153,0.4117647058823529,0.7183098591549296,0.6830985915492958,0.676056338028169,102.0,97.0,96.0
0.5919920264397219,0.5753941191563653,0.5643288476341275,0.4392156862745098,0.7535211267605634,0.7323943661971831,0.7183098591549296,107.0,104.0,102.0
0.5881738782814622,0.577281769424398,0.566389660567334,0.4470588235294118,0.7605633802816901,0.7464788732394366,0.7323943661971831,108.0,106.0,104.0
0.5811234742631312,0.5811234742631312,0.5697288963364031,0.4313725490196078,0.7183098591549296,0.7183098591549296,0.704225352112676,102.0,102.0,100.0
0.5711201911732853,0.5835358475031392,0.5773280193382122,0.396078431372549,0.647887323943662,0.6619718309859155,0.6549295774647887,92.0,94.0,93.0
0.5662676108993839,0.5728521180028651,0.5926056393133088,0.3725490196078431,0.6056338028169014,0.6126760563380281,0.6338028169014085,86.0,87.0,90.0
0.56543025359309,0.571320152068018,0.5948797459677301,0.4156862745098039,0.676056338028169,0.6830985915492958,0.7112676056338029,96.0,97.0,101.0
0.5728752163338259,0.5861978957834498,0.5728752163338259,0.3725490196078431,0.6056338028169014,0.6197183098591549,0.6056338028169014,86.0,88.0,86.0
0.5772593407271058,0.589808456829869,0.5647102246243426,0.396078431372549,0.647887323943662,0.6619718309859155,0.6338028169014085,92.0,94.0,90.0
0.5772552555677877,0.5900831501359607,0.5644273609996147,0.388235294117647,0.6338028169014085,0.647887323943662,0.6197183098591549,90.0,92.0,88.0
0.5922550944410098,0.5989096460639424,0.5390186814575482,0.3764705882352941,0.6267605633802817,0.6338028169014085,0.5704225352112676,89.0,90.0,81.0
0.570911772370412,0.5773265113858098,0.5837412504012077,0.3843137254901961,0.6267605633802817,0.6338028169014085,0.6408450704225352,89.0,90.0,91.0
0.5728485979663679,0.5795879932365605,0.5795879932365605,0.3647058823529411,0.5985915492957746,0.6056338028169014,0.6056338028169014,85.0,86.0,86.0
0.5878310519063259,0.5751895239083403,0.5688687599093476,0.388235294117647,0.6549295774647887,0.6408450704225352,0.6338028169014085,93.0,91.0,90.0
0.5939008142774003,0.5688944642025623,0.5688944642025623,0.388235294117647,0.6690140845070423,0.6408450704225352,0.6408450704225352,95.0,91.0,91.0
0.5990602969957363,0.5727279762486709,0.5595618158751383,0.3686274509803922,0.6408450704225352,0.6126760563380281,0.5985915492957746,91.0,87.0,85.0
0.6018186125674048,0.5747705850362855,0.554484564387946,0.3607843137254902,0.6267605633802817,0.5985915492957746,0.5774647887323944,89.0,85.0,82.0
0.6061052707708472,0.5724327557280224,0.5522292467023275,0.3607843137254902,0.6338028169014085,0.5985915492957746,0.5774647887323944,90.0,85.0,82.0
0.5772508888172242,0.5641315504350146,0.5903702271994339,0.3725490196078431,0.6197183098591549,0.6056338028169014,0.6338028169014085,88.0,86.0,90.0
0.5974793007078582,0.5771106881837266,0.5567420756595951,0.3607843137254902,0.6197183098591549,0.5985915492957746,0.5774647887323944,88.0,85.0,82.0
0.587247630497814,0.5812553077376322,0.5632783394570869,0.4078431372549019,0.6901408450704225,0.6830985915492958,0.6619718309859155,98.0,97.0,94.0
0.5934636796472492,0.5812273151184401,0.5567545860608215,0.4,0.6830985915492958,0.6690140845070423,0.6408450704225352,97.0,95.0,91.0
0.5545606410247022,0.581612379611273,0.5951382489045584,0.3686274509803922,0.5774647887323944,0.6056338028169014,0.6197183098591549,82.0,86.0,88.0
0.6161913837554537,0.5764371009325212,0.5366828181095887,0.3686274509803922,0.6549295774647887,0.6126760563380281,0.5704225352112676,93.0,87.0,81.0
0.6002328224262353,0.5749598614819728,0.5560051407737758,0.3843137254901961,0.6690140845070423,0.6408450704225352,0.6197183098591549,95.0,91.0,88.0
