site,year,month,day,time,GBCC,snow1,snow_ratio1,snow2,snow_ratio2,snow3,snow_ratio3,snow_ratio
bozeman,2015,08,17,120007,0.1486847371612646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,18,120006,0.12435264540456163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,19,120007,0.11604162579763272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,20,120008,0.19256643440394666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,21,120008,0.1212574709619754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,22,120005,0.12328334965821353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,23,120007,0.14527472981644793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,24,120007,0.12432579464748218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,25,120006,0.1310940568367197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,26,120008,0.12183330567106421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,27,120005,0.15859982903164505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,28,120007,0.15014052661444627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,29,120007,0.1268012675289748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,30,120007,0.11171989751075252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,08,31,120008,0.10386855342168266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,01,120007,0.1058978100149546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,02,120007,0.11087778380364338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,03,120008,0.10567074476622522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,04,120007,0.19875022118974967,64.0,0.00014282526221825486,0.0,0.0,64.0,0.00014282526221825486,0.014282526221825485
bozeman,2015,09,05,120007,0.15571992471669413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,06,120007,0.10281167712549151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,07,120007,0.10835036164172952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,08,120007,0.10294548837415737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,09,120007,0.11091400042101261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,10,120007,0.10452044318947364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,11,120008,0.10332595920763633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,12,120008,0.10190925527511432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,13,120008,0.10655815365197334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,14,120007,0.10648597069459671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,15,120008,0.18169720839833656,12.0,2.6779736665922784e-05,0.0,0.0,12.0,2.6779736665922784e-05,0.0026779736665922785
bozeman,2015,09,16,120007,0.14561535195126735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,17,120008,0.11540283047864781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,18,120008,0.09580705793582524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,19,120007,0.09723497337268265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,20,120006,0.09956473796901985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bozeman,2015,09,21,120008,0.09861315111564659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
