B0,G0,R0,L,B1,G1,R1,B,G,R
0.5012327349670019,0.5711015404472506,0.6500836683814448,0.7803921568627451,0.6470588235294118,0.7372549019607844,0.8392156862745098,165.0,188.0,214.0
0.5028581687759661,0.5712944876034645,0.6486572827997669,0.792156862745098,0.6627450980392157,0.7529411764705882,0.8549019607843137,169.0,192.0,218.0
0.5030766896955728,0.5703485726199808,0.649319913444286,0.803921568627451,0.6745098039215687,0.7647058823529411,0.8705882352941177,172.0,195.0,222.0
0.5046046591968193,0.5705473135236764,0.647958255559552,0.8196078431372549,0.6901960784313725,0.7803921568627451,0.8862745098039215,176.0,199.0,226.0
0.5053454518878541,0.5706428979183071,0.6472964215192737,0.8274509803921568,0.6980392156862745,0.788235294117647,0.8941176470588236,178.0,201.0,228.0
0.5077906155623382,0.5687254894298188,0.6470703272594367,0.807843137254902,0.6862745098039216,0.7686274509803922,0.8745098039215686,175.0,196.0,223.0
0.5065309163084878,0.5694726278024419,0.6474004610806708,0.788235294117647,0.6627450980392157,0.7450980392156863,0.8470588235294118,169.0,190.0,216.0
0.5054871201024256,0.5724793890316627,0.6455618642271941,0.7764705882352941,0.6509803921568628,0.7372549019607844,0.8313725490196079,166.0,188.0,212.0
0.5046058914092564,0.5745211655201775,0.6444364396310985,0.7803921568627451,0.6509803921568628,0.7411764705882353,0.8313725490196079,166.0,189.0,212.0
0.5067494743121213,0.5757153791001615,0.6416827662887217,0.792156862745098,0.6627450980392157,0.7529411764705882,0.8392156862745098,169.0,192.0,214.0
0.5080987253842237,0.5777808362940601,0.638752683340167,0.8156862745098039,0.6862745098039216,0.7803921568627451,0.8627450980392157,175.0,199.0,220.0
0.5112669608291195,0.580732580506989,0.6335264514621698,0.8470588235294118,0.7215686274509804,0.8196078431372549,0.8941176470588236,184.0,209.0,228.0
0.5157515737160612,0.5798864844372295,0.6306599554248209,0.8784313725490196,0.7568627450980392,0.8509803921568627,0.9254901960784314,193.0,217.0,236.0
0.5163995357791024,0.5816014973673729,0.6285469097109276,0.8980392156862745,0.7764705882352941,0.8745098039215686,0.9450980392156862,198.0,223.0,241.0
0.5188500720837854,0.5808023194967747,0.6272665050565167,0.9058823529411764,0.788235294117647,0.8823529411764706,0.9529411764705882,201.0,225.0,243.0
0.5179662255916373,0.5781340194734942,0.6304538402403262,0.8901960784313725,0.7764705882352941,0.8666666666666667,0.9450980392156862,198.0,221.0,241.0
0.5158865912326842,0.5753080834165536,0.634729575600423,0.8666666666666667,0.7490196078431373,0.8352941176470589,0.9215686274509804,191.0,213.0,235.0
0.5145670601341696,0.5732948224320912,0.6376157049488624,0.8392156862745098,0.7215686274509804,0.803921568627451,0.8941176470588236,184.0,205.0,228.0
0.5141262549515871,0.5712513943906523,0.6398015617175307,0.8196078431372549,0.7058823529411765,0.7843137254901961,0.8784313725490196,180.0,200.0,224.0
0.5133267262905227,0.5690593422877794,0.642391731757854,0.8,0.6862745098039216,0.7607843137254902,0.8588235294117647,175.0,194.0,219.0
0.5048889910267083,0.5714013131978913,0.6469834974833267,0.7803921568627451,0.6549019607843137,0.7411764705882353,0.8392156862745098,167.0,189.0,214.0
0.49906845602706,0.5751459645677703,0.6481803727668524,0.7803921568627451,0.6431372549019608,0.7411764705882353,0.8352941176470589,164.0,189.0,213.0
0.4985030207101827,0.5761142694435046,0.6477554221204171,0.796078431372549,0.6549019607843137,0.7568627450980392,0.8509803921568627,167.0,193.0,217.0
0.4993602960595323,0.5741148313977856,0.648869366736039,0.792156862745098,0.6549019607843137,0.7529411764705882,0.8509803921568627,167.0,192.0,217.0
0.4990991203025081,0.5708446188459936,0.6519482258951512,0.7607843137254902,0.6274509803921569,0.7176470588235294,0.8196078431372549,160.0,183.0,209.0
0.4973954926423641,0.5670308616122951,0.6565620502879207,0.7176470588235294,0.5882352941176471,0.6705882352941176,0.7764705882352941,150.0,171.0,198.0
0.49171920588884,0.5649539812339863,0.6626003483608481,0.6862745098039216,0.5529411764705883,0.6352941176470588,0.7450980392156863,141.0,162.0,190.0
0.4905839279560005,0.5636496193537027,0.6645498598552915,0.6862745098039216,0.5529411764705883,0.6352941176470588,0.7490196078431373,141.0,162.0,191.0
0.4912543732580068,0.5665800438242344,0.6615558893207825,0.7254901960784313,0.5882352941176471,0.6784313725490196,0.792156862745098,150.0,173.0,202.0
0.4909769881171094,0.5712625333438066,0.6577238897417881,0.7686274509803922,0.6235294117647059,0.7254901960784313,0.8352941176470589,159.0,185.0,213.0
0.4919590069671333,0.5724613899253915,0.6559453426228444,0.796078431372549,0.6470588235294118,0.7529411764705882,0.8627450980392157,165.0,192.0,220.0
0.4924823047341333,0.5745626888564889,0.6537116306887603,0.807843137254902,0.6588235294117647,0.7686274509803922,0.8745098039215686,168.0,196.0,223.0
0.5022231883974215,0.5722300570831227,0.6483244795675805,0.7803921568627451,0.6470588235294118,0.7372549019607844,0.8352941176470589,165.0,188.0,213.0
0.5036452907565555,0.5713870550103611,0.6479647015581416,0.8,0.6705882352941176,0.7607843137254902,0.8627450980392157,171.0,194.0,220.0
0.503779182857388,0.5724763441561227,0.6468982688964187,0.8235294117647058,0.6901960784313725,0.7843137254901961,0.8862745098039215,176.0,200.0,226.0
0.5056201266627361,0.5726636793693973,0.6452941948016135,0.8392156862745098,0.7098039215686275,0.803921568627451,0.9058823529411764,181.0,205.0,231.0
0.5080413718382689,0.571893566113024,0.644074307467095,0.8431372549019608,0.7176470588235294,0.807843137254902,0.9098039215686274,183.0,206.0,232.0
0.5076762566882903,0.570777260344462,0.6453511737563012,0.8196078431372549,0.6941176470588235,0.7803921568627451,0.8823529411764706,177.0,199.0,225.0
0.5049745513613496,0.5692440397164304,0.6488157872036734,0.7725490196078432,0.6470588235294118,0.7294117647058823,0.8313725490196079,165.0,186.0,212.0
