B0,G0,R0,L,B1,G1,R1,B,G,R
0.6063266801573551,0.5790760428469123,0.5450127462088585,0.3568627450980392,0.3517786561264822,0.3359683794466403,0.3162055335968379,89.0,85.0,80.0
0.5514073825318406,0.5690054904849844,0.6100677423756534,0.4156862745098039,0.3715415019762846,0.383399209486166,0.4110671936758893,94.0,97.0,104.0
0.5733225008285754,0.5910541245655417,0.56741195958292,0.4196078431372549,0.383399209486166,0.3952569169960474,0.3794466403162055,97.0,100.0,96.0
0.5713779626683488,0.5773298164461442,0.5832816702239395,0.4117647058823529,0.3794466403162055,0.383399209486166,0.3873517786561264,96.0,97.0,98.0
0.5752448705026413,0.5930359489717951,0.5633841515232053,0.4196078431372549,0.383399209486166,0.3952569169960474,0.375494071146245,97.0,100.0,95.0
0.5834471419910053,0.6033373854679714,0.5436666550370731,0.3764705882352941,0.3478260869565217,0.3596837944664031,0.3241106719367589,88.0,91.0,82.0
0.5484108346345884,0.567996935871538,0.6136978387577537,0.3764705882352941,0.3320158102766798,0.3438735177865613,0.3715415019762846,84.0,87.0,94.0
0.5713994470235793,0.5890715948696693,0.5713994470235793,0.4196078431372549,0.383399209486166,0.3952569169960474,0.383399209486166,97.0,100.0,97.0
0.5686031615610615,0.5816744986084422,0.5816744986084422,0.3764705882352941,0.3438735177865613,0.3517786561264822,0.3517786561264822,87.0,89.0,89.0
0.5771317276629556,0.5965856061235048,0.5576778492024066,0.3843137254901961,0.3517786561264822,0.3636363636363636,0.3399209486166007,89.0,92.0,86.0
0.5636875433347537,0.5840617918890219,0.5840617918890219,0.3647058823529411,0.3280632411067193,0.3399209486166007,0.3399209486166007,83.0,86.0,86.0
0.5696338311051059,0.5868954623507151,0.5753877081869756,0.4313725490196078,0.391304347826087,0.4031620553359684,0.3952569169960474,99.0,102.0,100.0
0.5753043024367424,0.5872898087375078,0.5693115492863596,0.4117647058823529,0.3794466403162055,0.3873517786561264,0.375494071146245,96.0,98.0,95.0
0.5859957264858346,0.5859957264858346,0.5596588399022016,0.3764705882352941,0.3517786561264822,0.3517786561264822,0.3359683794466403,89.0,89.0,85.0
0.5815082314701912,0.5878984318160174,0.5623376304327123,0.388235294117647,0.3596837944664031,0.3636363636363636,0.3478260869565217,91.0,92.0,88.0
0.5629781456112426,0.5874554562899923,0.5813361286203048,0.403921568627451,0.3636363636363636,0.3794466403162055,0.375494071146245,92.0,96.0,95.0
0.5769245534624899,0.6040739442136659,0.5497751627113139,0.3725490196078431,0.3359683794466403,0.3517786561264822,0.3201581027667984,85.0,89.0,81.0
0.5771106881837266,0.5974793007078582,0.5567420756595951,0.3686274509803922,0.3359683794466403,0.3478260869565217,0.3241106719367589,85.0,88.0,82.0
0.5731210451022177,0.5857171120275413,0.5731210451022177,0.392156862745098,0.3596837944664031,0.3675889328063241,0.3596837944664031,91.0,93.0,91.0
0.5793127127128654,0.5853472201369577,0.5672436978646807,0.4078431372549019,0.3794466403162055,0.383399209486166,0.3715415019762846,96.0,97.0,94.0
0.5858997540393349,0.5858997540393349,0.55985976497092,0.3803921568627451,0.3557312252964427,0.3557312252964427,0.3399209486166007,90.0,90.0,86.0
0.5885305360159003,0.5885305360159003,0.5543136443870689,0.3607843137254902,0.3399209486166007,0.3399209486166007,0.3201581027667984,86.0,86.0,81.0
0.5893675749470058,0.5893675749470058,0.552532101512818,0.403921568627451,0.3794466403162055,0.3794466403162055,0.3557312252964427,96.0,96.0,90.0
0.5870642978134618,0.5870642978134618,0.5574145858026809,0.4156862745098039,0.391304347826087,0.391304347826087,0.3715415019762846,99.0,99.0,94.0
0.58609387699179,0.58609387699179,0.559453246219436,0.3725490196078431,0.3478260869565217,0.3478260869565217,0.3320158102766798,88.0,88.0,84.0
0.555833955215807,0.5813895393636602,0.5941673314375869,0.388235294117647,0.3438735177865613,0.3596837944664031,0.3675889328063241,87.0,91.0,93.0
0.5728882722200952,0.5983499732076549,0.5601574217263152,0.392156862745098,0.3557312252964427,0.3715415019762846,0.3478260869565217,90.0,94.0,88.0
0.5709827775511377,0.5836712837189408,0.5773270306350393,0.388235294117647,0.3557312252964427,0.3636363636363636,0.3596837944664031,90.0,92.0,91.0
